-;Internationales Steuerrecht (iStR) 2011;0942-6744;1090;Druckerzeugnis;40596.46736;Zeitschrift für europäische und internationale Steuer- und Wirtschaftsberatung;HB Steuerrecht;Z 180;München/Frankfurt;C.H. Beck;2011;0;Z;0;0;Zeitschriften;0;0
Ernst & Young;Worldwide Executive Tax Guide 2000;-;575;Druckerzeugnis;38237.49792;0;Haupt-Bibliothek;PC 157;New York;Ernst & Young International;1999;0;PC;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Einkommensteuer allgemein;0
IBFD;Annual Report 2002 - 2003;0;134;Druckerzeugnis;37938;Including Worldwide Survey of Trends and Developments in Taxation;Haupt-Bibliothek;KA 359;Amsterdam;IBFD;2003;0;KA;0;0;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;0
NN;Steuersystem. Steuerverwaltung;0;0;Druckerzeugnis;38124;Sonderausgabe der Verwaltungspraxis (VP);Separata;TA Sep. 70;Solothurn;Union Druck + Verlag;1967;0;TA;0;0;Finanz- und Steuerpolitik (Finanzreform);Bund;0
Höhn Ernst/Waldburger Robert;Steuerrecht (8. A.) - Bd. II;3-258-05669-2;1111;Druckerzeugnis;38264.42361;Band II: Steuern bei Vermögen, Erwerbstätigkeit, Unternehmen, Vorsorge, Versicherung / Interkantonales und Internationales Steuerrecht / Steuerverfahrens- und Steuerstrafrecht;Haupt-Bibliothek;JA 118 8.2.2;Bern;Verlag Paul Haupt;1999;0;JA;0;0;Allgemeine Steuerrechtsliteratur;Allgemeines, Lehrbücher;0
Federmann Rudolf;Bilanzierung nach Handelsrecht und Steuerrecht;3 503 05849 4;510;Druckerzeugnis;38254.64653;Gemeinsamkeiten, Unterschiede und Abhängigkeiten von Handels- und Steuerbilanz unter Berücksichtigung internationaler Rechnungslegungsstandards 11. A.;Haupt-Bibliothek;PE 0367 2;Berlin;Erich Schmidt Verlag GmbH & Co.;2000;0;PE;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Einkommen Selbständigerwerbender, Unternehmungsbesteuerung;0
Roberto Vito;Sanierung der AG;3 7255 4673 8;220;Druckerzeugnis;38254.62708;Ausgewählte Rechtsfragen für die Unternehmenspraxis. Mit Beiträgen von Vito Roberto, Lukas Glanzmann, Markus Affentranger, Marcel Giger, Thomas Geiser, Peter Athanas, Christoph Suter. Schriften zum neuen Aktienrecht- Band 17, 2. A.;HB Steuerrecht;WC 322;Zürich/Basel/Genf;Schulthess Juristische Medien AG;2003;0;WC;0;0;Uebrige Literatur;Privatrecht;0
Schaltegger Christoph A.;Flat Tax - ein Modell für die Schweiz?;-;7;Druckerzeugnis;38250.51181;zusammengebunden mit Daepp Martin/Schaltegger Christoph A., Moderne Steuersysteme - Grundfragen und Reformvorschläge;Haupt-Bibliothek;-;Bern;Eidg. Steuerverwaltung;-;0;YL7;YL8;YL9;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre"
Scharpf Fritz W.;Politische Durchsetzbarkeit innerer Reformen;0;138 S.;Druckerzeugnis;38245;Kommission für wirtschaftlichen und sozialen Wandel, Bd. 28;Haupt-Bibliothek;TD 152;Göttingen;Verlag Otto Schwartz & Co;1974;0;TD;0;0;Finanz- und Steuerpolitik (Finanzreform);Ausland;0
Isler Eugen;Rationalisierungsmöglichkeiten im schweizerischen Steuerwesen;0;9 S.;Druckerzeugnis;38244;0;Separata;TA Sep. 30;Basel;Schweizerische Treuhandgesellschaft;1968;0;TA;0;0;Finanz- und Steuerpolitik (Finanzreform);Bund;0
Locher Peter;Introduzione al diritto fiscale intercantonale;88-7595-014-8;230;Druckerzeugnis;40490.48125;con riferimento alla legge federale sull'armonizzazione fiscale ed a quelle tributarie cantonali bernese e ticinese - 2a ed. Originaltitel: Einführung in das interkantonale Steuerrecht - Unter Berücksichtigung des Steuerharmonisierungs- und des bernischen sowie des tessinischen Steuergesetzes - 3. A., Bern 2009;Haupt-Bibliothek;LB 117;Lugano;SUPSI;2010;0;LB;0;0;Interkantonales/Internationales Steuerrecht;Interkantonales Steuerrecht;0
-;Zuger Steuer Praxis 2012;-;-;Druckerzeugnis;41262.76389;0;HB Steuerrecht;Z 380;Zug;Speck Medien AG;2012;0;Z;0;0;Zeitschriften;0;0
Vallender Klaus A./Jacobs Reto;Ökologische Steuerreform;3-258-06255-2;243;Druckerzeugnis;38301.61389;Rechtliche Grundlagen;Haupt-Bibliothek;JA 152 3;Bern / Stuttgart / Wien;Verlag Paul Haupt;2000;0;JA;0;0;Allgemeine Steuerrechtsliteratur;Allgemeines, Lehrbücher;0
Fach Wolfgang;Wirkungen einer Steuerharmonisierung von Produktionssteuern auf die Allokation der Ressourcen eines gemeinsamen Wirtschaftsraumes;0;244;Druckerzeugnis;38299;Dissertation, Wirtschaftswiss. Fakultät Justus-Liebig-Universität Giessen,;Haupt-Bibliothek;TE 101;München;Offset;1974;0;TE;0;0;Finanz- und Steuerpolitik (Finanzreform);Steuerharmonisierung;0
Vögele Alexander/Borstell Thomas/Engler Gerhard;Handbuch der Verrechnungspreise;3-406-48328-3;2337;Druckerzeugnis;38293.71528;Betriebswirtschaft, Steuerrecht, OECD- und US-Verrechnungspreisrichtlinien- 2. A.;Haupt-Bibliothek;LC 0614 2;München;C. H. Beck;2004;0;LC;0;0;Interkantonales/Internationales Steuerrecht;Internationales Steuerrecht;0
Stamm Friedrich H.;Die Bundesfinanzen der Vereinigten Staaten von Amerika;0;255;Druckerzeugnis;38307.60625;Entwicklung und gegenwärtiger Stand;Haupt-Bibliothek;TD 132;Stuttgart;Gustav Fischer;1969;0;TD;0;0;Finanz- und Steuerpolitik (Finanzreform);Ausland;0
IFSt;IFSt-Brief 234;-;31;Druckerzeugnis;38303.66806;0;Haupt-Bibliothek;Z 153 234;Bonn;Institut Finanzen und Steuern;1984;0;Z;0;0;Zeitschriften;0;0
-;Rivista di diritto amministrativo e tributario ticinese 2003 - Vol. II;0;0;Druckerzeugnis;38303.66597;0;HB Steuerrecht;Z 260;Bellinzona;Departementi dell'interno e delle finanze;2003;0;Z;0;0;Zeitschriften;0;0
-;Rivista di diritto amministrativo e tributario ticinese 1997 - Vol. II;0;0;Druckerzeugnis;38303.65694;0;HB Steuerrecht;Z 260;Bellinzona;Departementi dell'interno e delle finanze;1997;0;Z;0;0;Zeitschriften;0;0
-;Rivista di diritto amministrativo e tributario ticinese 1994 - Vol. II;0;0;Druckerzeugnis;38303.65278;0;HB Steuerrecht;Z 260;Bellinzona;Departementi dell'interno e delle finanze;1994;0;Z;0;0;Zeitschriften;0;0
-;Rivista di diritto amministrativo e tributario ticinese 1988-90;0;0;Druckerzeugnis;38303.64306;0;HB Steuerrecht;Z 260;Bellinzona;Cancelleria delllo Stato, Bellinzona;1990;0;Z;0;0;Zeitschriften;0;0
Staatskanzlei Luzern;Luzerner Gerichts- und Verwaltungsentscheide (LGVE) 1981;-;335;Druckerzeugnis;38309.42361;II. Teil - Verwaltungsgericht;Haupt-Bibliothek;HB 203 3;Luzern;-;1982;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Kanton Luzern;Entscheide der Steuerrekurskommission des Kantons Luzern 1951-1952;-;140;Druckerzeugnis;37916;0;Haupt-Bibliothek;HB 203 2;Luzern;-;1953;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Kanton Luzern;Entscheide der Steuerrekurskommission des Kantons Luzern 1965-1966;-;72;Druckerzeugnis;37916;0;Haupt-Bibliothek;HB 203 2;Luzern;-;1967;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Hinnendahl Jürgen;Die Steuerverteilung zwischen Bund und Ländern in der BRD;0;228;Druckerzeugnis;38307.73056;Schriften zur öffentlichen Verwaltuing und öffentlichen Wirtschaft, Bd. 3;Haupt-Bibliothek;UE 110;Baden-Baden;Nomos;1974;0;YL4;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzausgleich
Staatskanzlei St.Gallen;Gesetzessammlung Neue Reihe - Bd. 4 (1966);-;503;Druckerzeugnis;38307.71875;0;Haupt-Bibliothek;HA 217 2.4;St.Gallen;Staatskanzlei St.Gallen;1967;0;HA;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Steuergesetzgebung (Bund, einzelne Kantone);0
Staatskanzlei St.Gallen;Bereinigte Gesetzessammlung - Bd. 3;-;554;Druckerzeugnis;38307.70903;Am 1. Januar 1956 in Kraft stehende Kantonale Erlasse;Haupt-Bibliothek;HA 217 1.3;St.Gallen;Staatskanzlei St.Gallen;1956;0;HA;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Steuergesetzgebung (Bund, einzelne Kantone);0
Schweiz. Bundesrat;Botschaft über erste Massnahmen zur Neuverteilung der Aufgaben zwischen Bund und Kantonen;0;0;Druckerzeugnis;38320.37986;0;Haupt-Bibliothek;WB 142 2;Bern;Bundesamt für Justiz;1981;0;WB;0;0;Uebrige Literatur;Oeffentliches Recht;0
Studienkommission für die Neuverteilung der Aufgaben zwischen Bund und Kantonen;Erste Vorschläge zur Neuverteilung der Aufgaben zwischen Bund und Kantonen;0;163;Druckerzeugnis;38320.37917;0;Haupt-Bibliothek;WB 142 1;Bern;Bundesamt für Justiz;1979;0;WB;0;0;Uebrige Literatur;Oeffentliches Recht;0
Friedrich Carl J.;Trends of Federalism in Theory and Practice;0;185;Druckerzeugnis;38309;0;Haupt-Bibliothek;WB 111;New York;Frederick A. Praeger;1968;0;WB;0;0;Uebrige Literatur;Oeffentliches Recht;0
Nathan Richard P./Manvel Allen D./Calkins Susannah E.;Monitoring Revenue Sharing;0;391;Druckerzeugnis;38309.64306;The Brookings Institution;Haupt-Bibliothek;UE 112;Washington;Brookings Institution;1975;0;YL4;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzausgleich
Staatskanzlei Luzern;Luzerner Gerichts- und Verwaltungsentscheide (LGVE) 1999;-;450;Druckerzeugnis;38309.45;0;Haupt-Bibliothek;HB 203 3;Luzern;-;2000;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Staatskanzlei Luzern;Luzerner Gerichts- und Verwaltungsentscheide (LGVE) 1993;-;367;Druckerzeugnis;38309.44653;0;Haupt-Bibliothek;HB 203 3;Luzern;-;1994;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
-;Steuerpraxis des Kantons Schwyz (StPS) 1993;0;0;Druckerzeugnis;38321.50972;2 Hefte;HB Steuerrecht;Z 315;Schwyz;Kantonale Steuerverwaltung Schwyz;1993;0;Z;0;0;Zeitschriften;0;0
-;Steuerpraxis des Kantons Schwyz (StPS) 1984;0;0;Druckerzeugnis;38321.50139;4 Hefte;HB Steuerrecht;Z 315;Schwyz;Kantonale Steuerverwaltung Schwyz;1984;0;Z;0;0;Zeitschriften;0;0
-;Jusletter - Online;1424-7410;-;Online-Publikation;38321.38958;http://jusletter.weblaw.ch/juslissues/2014/779.html  Jahresregister: http://www.weblaw.ch/jusletter/jahresregister.asp  Die Rechtsgebiete: http://jusletter.weblaw.ch/category?lang=de;Internet;Z 195;Bern;Weblaw GmbH;online;0;Z;0;0;Zeitschriften;0;0
Staatskanzlei Schwyz;Entscheide der Gerichts- und Verwaltungsbehörden des Kantons Schwyz 1995;-;165;Druckerzeugnis;37916;0;Haupt-Bibliothek;HB 205 2;Schwyz;Staatskanzlei Schwyz;1996;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Staatskanzlei Schwyz;Entscheide der Gerichts- und Verwaltungsbehörden des Kantons Schwyz 1985;-;172;Druckerzeugnis;37916;0;Haupt-Bibliothek;HB 205 2;Schwyz;Staatskanzlei Schwyz;1986;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Staatskanzlei Schwyz;Entscheide der Gerichts- und Verwaltungsbehörden des Kantons Schwyz 1976;-;88;Druckerzeugnis;37916;0;Haupt-Bibliothek;HB 205 2;Schwyz;Staatskanzlei Schwyz;1977;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Staatskanzlei des Kantons Zug;Gerichts- und Verwaltungspraxis des Kantons Zug 1985/86;0;221;Druckerzeugnis;37916;0;Haupt-Bibliothek;HB 209 2;Zug;Staatskanzlei des Kantons Zug;1987;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Kantonskanzlei Zug;Sammlung der Verwaltungsentscheide des Regierungsrates 1939-1942;-;8;Druckerzeugnis;38321.58958;0;Haupt-Bibliothek;HB 209 1 03;Zug;Kantonskanzlei Zug;1943;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Mazmanian Daniel A. / Sabatier Paul A.;Effective Policy Implementation;0;206;Druckerzeugnis;38321;Lexington Books;Haupt-Bibliothek;TD 174;Lexington;D.C. Heath;1981;0;TD;0;0;Finanz- und Steuerpolitik (Finanzreform);Ausland;0
IFSt;IFSt-Heft 070;-;45;Druckerzeugnis;38321.54028;Finanzen und Steuern;Haupt-Bibliothek;Z 152 070;Bonn;Stollfuss;1963;0;Z;0;0;Zeitschriften;0;0
Hochschule Speyer;Gemeinschaftsaufgaben zwischen Bund-Ländern und Gemeinden;0;182;Druckerzeugnis;38321.53611;Schriftenreihe der Hochschule Speyer, Bd. 11;Haupt-Bibliothek;UB 116;Berlin;Duncker & Humblot;1961;0;YL4;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzausgleich
-;Steuerpraxis des Kantons Schwyz (StPS) 2002;0;0;Druckerzeugnis;38321.51389;2 Hefte;HB Steuerrecht;Z 315;Schwyz;Kantonale Steuerverwaltung Schwyz;2002;0;Z;0;0;Zeitschriften;0;0
Regierungsrat des Kts. Solothurn;Gesetz über den direkten Finanzausgleich (Finanzausgleichsgesetz) - Bericht und Antrag des Regierungrates;-;94;Druckerzeugnis;38321.66042;0;Haupt-Bibliothek;TB 116;Solothurn;Staatskanzlei des Kantons Solothurn;1981;0;TB;0;0;Finanz- und Steuerpolitik (Finanzreform);Kantone;0
Keller Theo;Der Finanzausgleich als staatspolitisches-finanzwirtschaftliches und volkwirtschaftliches Problem;0;15;Druckerzeugnis;38321;0;Separata;UB Sep. 01;St. Gallen;Institut für Finanzwirtschaft und Finanzrecht;1970;0;YL4;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzausgleich
Steuergericht des Kantons Solothurn;Grundsätzliche Entscheide des Solothurnischen Kantonalen Steuergerichts 1990;-;97;Druckerzeugnis;38321;0;Haupt-Bibliothek;HB 211;Solothurn;Staatskanzlei Solothurn;1991;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Kantonale Rekurskommission Solothurn;Grundsätzliche Entscheide der Solothurnischen Kantonalen Rekurskommission in Steuersachen 1979;-;140;Druckerzeugnis;38321;0;Haupt-Bibliothek;HB 211;Solothurn;Staatskanzlei Solothurn;1980;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Kantonale Rekurskommission Solothurn;Bericht der Solothurnischen Kantonalen Rekurskommission in Steuersachen 1967;-;144;Druckerzeugnis;38321;0;Haupt-Bibliothek;HB 211;Solothurn;Staatskanzlei Solothurn;1968;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Lenk Reinhard;Folgelasten kommunaler Investitionen;0;86;Druckerzeugnis;38321;Der Finanzminister informiert, Heft 15;Separata;TD Sep. 13;Düsseldorf;Finanzminister Nordrhein-Westfalen;1981;0;TD;0;0;Finanz- und Steuerpolitik (Finanzreform);Ausland;0
Meyer John R./Quigley John;Local Public Finance and the Fiscal Squeeze: A Case Study;0;194;Druckerzeugnis;38321;0;Haupt-Bibliothek;TC 116;Cambridge;Ballinger Publishing Comp;1977;0;TC;0;0;Finanz- und Steuerpolitik (Finanzreform);Gemeinden;0
Obergericht des Kantons Schaffhausen;Amtsbericht des Obergerichtes an den Grossen Rat des Kantons Schaffhausen 1987;-;190;Druckerzeugnis;37916;0;Haupt-Bibliothek;HB 214;Schaffhausen;-;1988;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Obergericht des Kantons Schaffhausen;Amtsbericht des Obergerichtes an den Grossen Rat des Kantons Schaffhausen 1972;-;103;Druckerzeugnis;37916;0;Haupt-Bibliothek;HB 214;Schaffhausen;-;1973;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Obergericht des Kantons Schaffhausen;Amtsbericht des Obergerichtes an den Grossen Rat des Kantons Schaffhausen 1970;-;77;Druckerzeugnis;37916;0;Haupt-Bibliothek;HB 214;Schaffhausen;-;1971;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Obergericht des Kantons Schaffhausen;Amtsbericht des Obergerichtes an den Grossen Rat des Kantons Schaffhausen 1960;-;63;Druckerzeugnis;37916;0;Haupt-Bibliothek;HB 214;Schaffhausen;-;1961;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
-;Basellandschaftliche Steuerpraxis (BStPra) 1979-1981;0;462 + 19;Druckerzeugnis;38322.53681;Band VII;HB Steuerrecht;Z 035;Liestal;Landschäftler AG;1981;0;Z;0;0;Zeitschriften;0;0
Verwaltungsgericht des Kantons Graubünden;Praxis des Verwaltungsgerichts des Kantons Graubünden (GR PVG) 1978;-;232;Druckerzeugnis;37916;0;Haupt-Bibliothek;HB 218;Chur;Drucksachenzentrale;1979;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Staatskanzlei St. Gallen;St. Gallische Gerichts- und Verwaltungspraxis (SG GVP) 1976;-;164;Druckerzeugnis;38166;0;Haupt-Bibliothek;HB 217;St. Gallen;Staatskanzlei St. Gallen;1977;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Staatskanzlei St. Gallen;St. Gallische Gerichts- und Verwaltungspraxis (SG GVP) 1967;-;261;Druckerzeugnis;38166;0;Haupt-Bibliothek;HB 217;St. Gallen;Staatskanzlei St. Gallen;1968;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Staatskanzlei St. Gallen;St. Gallische Gerichts- und Verwaltungspraxis (SG GVP) 1957;0;234;Druckerzeugnis;38166;0;Haupt-Bibliothek;HB 217;St. Gallen;Staatskanzlei St. Gallen;1958;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Kantonskanzlei Appenzell Ausserrhoden;Ausserrhodische Gerichts- und Verwaltungspraxis (AR GVP) 1999;-;177;Druckerzeugnis;38322;Bd. 11;Haupt-Bibliothek;HB 215;Trogen;Kantonskanzlei Appenzell Ausserrhoden;2000;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Kantonskanzlei Appenzell Ausserrhoden;Ausserrhodische Gerichts- und Verwaltungspraxis (AR GVP) 1997;-;143;Druckerzeugnis;38322;Bd. 9;Haupt-Bibliothek;HB 215;Trogen;Kantonskanzlei Appenzell Ausserrhoden;1998;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Kantonskanzlei Appenzell Ausserrhoden;Appenzell A. Rh. Verwaltungspraxis 1965/66-1967/68;-;-;Druckerzeugnis;38322;Entscheide der kant. Steuerrekurskommission, H. XIII;Haupt-Bibliothek;HB 215;Trogen;Kantonskanzlei Appenzell Ausserrhoden;1968;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Verwaltungsgericht des Kantons Thurgau;Thurgauische Verwaltungsrechtspflege (TVR) 1988;0;154;Druckerzeugnis;37916;0;Haupt-Bibliothek;HB 220;Frauenfeld;Drucksachenzentrale;1989;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Steuerrekurskommission des Kantons Thurgau;Grundsätzliche Entscheide der Jahre 1946-1954;-;72;Druckerzeugnis;38324;0;Haupt-Bibliothek;HB 220;Frauenfeld;Kantonale Drucksachenverwaltung;1955;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Verwaltungsgericht des Kantons Graubünden;Praxis des Verwaltungsgerichts des Kantons Graubünden (GR PVG) 2001;-;251;Druckerzeugnis;37916;0;Haupt-Bibliothek;HB 218;Chur;Drucksachenzentrale;2002;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Verwaltungsgericht des Kantons Graubünden;Praxis des Verwaltungsgerichts des Kantons Graubünden (GR PVG) 1993;-;240;Druckerzeugnis;37916;0;Haupt-Bibliothek;HB 218;Chur;Drucksachenzentrale;1994;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Verwaltungsgericht des Kantons Graubünden;Praxis des Verwaltungsgerichts des Kantons Graubünden (GR PVG) 1983;-;189;Druckerzeugnis;37916;0;Haupt-Bibliothek;HB 218;Chur;Drucksachenzentrale;1984;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Verwaltungsgericht des Kantons Graubünden;Praxis des Verwaltungsgerichts des Kantons Graubünden (GR PVG) 1970;-;234;Druckerzeugnis;37916;0;Haupt-Bibliothek;HB 218;Chur;-;1971;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Suter Fritz;Die Einwirkungen der Wirtschaftskonjunktur auf den Finanzhaushalt des Kantons Solothurn in den Jahren 1929-1957;0;123;Druckerzeugnis;38329.55417;These Neuchâtel;Haupt-Bibliothek;TB 105;Beromünster;Wallimann;1963;0;TB;0;0;Finanz- und Steuerpolitik (Finanzreform);Kantone;0
Hedtkamp Günter/Czugunow Nikolai T.;Neuere Entwicklungen in der sowjetischen Finanzwirtschaft.;0;83;Druckerzeugnis;38327.49306;Verflechtung von öffentlichen Einnahmen und Stimmulierungssystemen.  Wirtschaft und Gesellschaft, Bd. 14;Haupt-Bibliothek;TD 171;Tübingen;J.C.B. Mohr (Paul Siebeck);1980;0;TD -;0;0;Finanz- und Steuerpolitik (Finanzreform);Ausland;0
Kempen Otto Ernst;Sozialstaatsprinzip und Wirtschaftsordnung;0;247;Druckerzeugnis;38327.48542;campus Paperbacks: Politik und Gesellschaft;Haupt-Bibliothek;"WB 132";Frankfurt a.M.;Campus Verlag;1976;0;WB;0;0;Uebrige Literatur;Oeffentliches Recht;0
EG-Kommission;Die Wettbewerbspolitik der Kommission 1983;0;6;Druckerzeugnis;38327.43056;13. Jahresbericht;Separata;FB Sep. 135;Brüssel;0;1984;0;YL5;YM;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";Finanzwirtschaft supranationaler Behörden
-;Rivista di diritto amministrativo e tributario ticinese 2004 - Vol. II;0;826;Druckerzeugnis;38324.69583;0;HB Steuerrecht;Z 260;Bellinzona;Departementi dell'interno e delle finanze;2004;0;Z;0;0;Zeitschriften;0;0
Verwaltungsgericht des Kantons Thurgau;Thurgauische Verwaltungsrechtspflege (TVR) 1997;0;175;Druckerzeugnis;37916;0;Haupt-Bibliothek;HB 220;Frauenfeld;Büromaterial-, Lehrmittel- und Drucksachenzentrale;1998;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Tuchtfeldt Egon;Die Zahlungsbilanz der Schweiz;0;50;Druckerzeugnis;38166;Information der internationalen Treuhand AG, Heft 79;Separata;AK Sep. 348;Basel;Internationale Treuhand AG;1988;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
NN;Gesetz über die Staatsbeiträge an die Gemeinden und über den Finanzaugleich;0;13;Druckerzeugnis;38331;0;Separata;U Sep. 03;Zürich;0;1966;0;YL4;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzausgleich
Institut international de finances publiques;Centralisation et Décentralisation des Finances Publiques;0;237;Druckerzeugnis;38331.65903;Congrès de Istanbul;Haupt-Bibliothek;UA 104;La Haye;Ist. Internat. de Finances Publ.;1962;0;YL4;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzausgleich
Ardant Gabriel;Histoire de l'impôt;-;634;Druckerzeugnis;38329.69444;Livre I: de l'Antiquité au XVIIe Siècle;Haupt-Bibliothek;OG 106 1;Paris;Librairie Arthème, Paris;1971;0;OG;0;0;Grundbegriffe und Geschichte der Steuern;Geschichte des Steuerwesens;0
Ehrlicher Werner;Kommunaler Finanzausgleich und Raumordnung;0;116;Druckerzeugnis;38329.66944;Veröffentlichungen der Akademie für Raumforschung und Landesplanung, Bd. 51;Haupt-Bibliothek;UD 103;Hannover;Gebrüder Jänecke;1967;0;YL4;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzausgleich
Blümle Gerold;Verteilungstheorie und makroökonomische Steuerüberwälzungslehre;0;39;Druckerzeugnis;37874;Dissertation der Universität Basel, 1968;Separata;CA Sep. 02;Göttingen;Vandenhoeck & Ruprecht;1968;0;YL7;YL8;YL9;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre"
