Flick Hans;Wassermeyer Franz;Baumhoff Hubertus;Aussensteuerrecht;Bd. III;0;0;3-504-26041-6;;Loseblattwerk;Kommentar;KB 308 3;KÃ¶ln;Otto Schmidt;2017;iff_doc_missing;CSV line 1;155189379;0;0;;;
Simonek Madeleine;0;0;Unternehmenssteuerrecht. Entwicklungen 2007;0;0;0;978-3-7272-8020-7;146;Druckerzeugnis;njus.ch - hrsg. von Hans-Ueli Vogt;PE 1029 2;Bern;Stämpfli;2008;bestcase;460276;;;;;;
IFA;0;0;Cahiers de Droit Fiscal International;Vol. 93a-b (2008) (CD-ROM);0;0;-;;CD-ROM/DVD;Die CD liegt ebenfalls für alle zugänglich auf dem Nyad/Volumes Server (IFF CD-ROM auf \\nyad\iff [H]) und muss vor der ersten Benutzung von jedem Mitarbeiter selbst installiert werden. Eine Anleitung dazu liegt unter Q:\IFF\Verschiedenes\Bibliothek\Administratives bereit. Alternativ kann durch Eingabe von '\\130.82.89.113\iff' im Laufwerkbrowser der H-Server temporär aufgerufen werden.;LC 0301 093.3;Rotterdam;Sdu Fiscale & Financiele Uitgevers;2008;journal;;;;;;;
IFA;0;0;Cahiers de Droit Fiscal International;Vol. 95a (2010);0;0;978-90-12-38335-6;890;Druckerzeugnis;Tax treaties and tax avoidance: application of anti-avoidance provisions;LC 0301 095.1;Rotterdam;Sdu Fiscale & Financiele Uitgevers;2010;journal;;;;;;;
Rossi Peter H.;Freeman Howard E.;0;Evaluation;A Systematic Approach;0;0;0-8039-4458-6;488;Druckerzeugnis;Vol. 5;EG 164;Newbury Park;Sage;1993;bestcase;58681;;;;;;
Herzig Norbert;0;0;Harmonisierung der Körperschaftsteuersysteme in den EU-Staaten;0;0;0;3-504-25096-8;114;Druckerzeugnis;Hrsg. im Auftrag des Fachinstituts der Steuerberater;PK 170 2;Köln;Otto Schmidt;1994;bestcase;73733;;;;;;
IFF;0;0;IFF Forum für Steuerrecht (FStR) 2007;0;0;0;1424-9855;0;Druckerzeugnis;0;Z 150 4;St. Gallen;Institut für Finanzwissenchaft und Finanzrecht an der Universität St. Gallen;2007;journal;;;;;;;
Legler John B.;Shapiro Perry;0;The Responsiveness of State Tax Revenue to Economic Growth;0;0;0;0;46-56;Druckerzeugnis;in: National Tax Journal 1968, Vol. 21, No. 1, March 1968 (Einzelexemplar);;Washington;National Tax Association;;leave;999269;;;;;;
Rhinow René A.;0;0;Wesen und Begriff der Subvention in der schweizerischen Rechtsordnung;0;0;0;0;293;Druckerzeugnis;Basler Studien zur Rechtswissenschaft- Heft 95;BC 217;Basel;Helbing & Lichtenhahn;1971;bestcase;95538;;;;;;
IFSt;0;0;Die Länderfinanzen 1964 bis 1973;0;0;0;-;157;Druckerzeugnis;IFSt-Heft 112;;;;;leave;999285;;;;;;
Portner Rosemarie;0;0;Besonderheiten des DBA-USA;0;0;0;-;93;Druckerzeugnis;IFSt-Schrift 430;;;;;leave;999293;;;;;;
IFSt;0;0;IFSt-Schrift 375;0;0;0;3-89737-070-0;47;Druckerzeugnis;0;Z 153 375;Bonn;IFSt;1999;journal;;;;;;;
IFSt;0;0;Die Sozialreform;0;0;0;-;107;Druckerzeugnis;IFSt-Heft 043;;;;;replacefromSwissbib;999309;190450738;0;0;https://www.swissbib.ch/Record/190450738;;
Piltz Detlev Jürgen;0;0;Währungsschwankungen und die Methoden zur Vermeidung der Internationalen Doppelbesteuerung;0;0;0;-;65;Druckerzeugnis;IFSt-Heft 125;;;;;HSB01duplicate;999316;14831;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=14831;;
United Nations;0;0;International Tax Agreements;Vol. VIII;0;0;-;;Druckerzeugnis;World Guide to International Tax Agreements;LC 0112 8;New York;;1968;replacefromSwissbib;999326;204400074;0;0;https://www.swissbib.ch/Record/204400074;;
Heckt Wilhelm;0;0;Vorschläge zur weiteren Strukturverbesserung der Gewerbesteuer;0;0;0;-;59;Druckerzeugnis;IFSt-Brief 208;;;;;leave;999334;;;;;;
Niemann Ursula;0;0;Zur Umsatzsteuerpflicht von Sachzuwendungen an Arbeitnehmer;0;0;0;-;64;Druckerzeugnis;IFSt-Brief 220;;;;;leave;999342;;;;;;
IFSt;0;0;IFSt-Heft 027;Bd. 2;0;0;-;192;Druckerzeugnis;0;Z 152 027.2;Bonn;Institut Finanzen und Steuern;1954;journal;;;;;;;
IFSt;0;0;Zur Steuerreform;Die Körperschaftsteuer;0;0;-;86;Druckerzeugnis;IFSt-Heft 100 - Bd. 6;;;;;HSB01duplicate;999499;440313;IFSt-Heft 100;Bd. 6;https://aleph.unisg.ch/F?func=direct&doc_number=440313;;
Nations Unies;0;0;Conventions Fiscales Internationales;Vol. VI;0;0;-;271;Druckerzeugnis;0;LC 0112 6 2;New York;;1959;replacefromSwissbib;999361;216652197;0;0;https://www.swissbib.ch/Record/216652197;;
Piltz Detlev Jürgen;0;0;Vorschlag zur Verbesserung der Behandlung nichtabziehbarer Ausgaben im KStG 1977;0;0;0;-;42;Druckerzeugnis;IFSt-Brief 263;;;;;replacefromSwissbib;999372;529014815;0;0;https://www.swissbib.ch/Record/529014815;;
IFSt;0;0;Grundlagen und Möglichkeiten einer organischen Steuerreform;0;0;0;-;;Druckerzeugnis;- Zur Neuordnung der Finanzverfassung und des Steuersystems - Erster statistischer Nachtrag IFSt-Heft 060 - SN1;;;;;HSB01duplicate;999376;440302;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=440302;;
IFSt;0;0;Das Guthaben-Modell;0;0;0;-;73;Druckerzeugnis;- Ein Weg zur Vereinfachung des Körperschaftsteuer-Anrechnungsverfahrens - IFSt-Schrift 366;;;;;leave;999384;;;;;;
IFSt;0;0;Zur Steuerfreiheit von Sanierungsgewinnen nach Wegfall des § 3 Nr.66 EStG;0;0;0;3 89737 055 7;94;Druckerzeugnis;IFSt-Schrift 360;;Bonn;IFSt;1998;notfound;;;;;;;
IFSt;0;0;Die Steuerreform in den Vereinigten Staaten;Bd. 2;0;0;-;60;Druckerzeugnis;- Das Steuergesetz 1964 und die Zinsausgleichsteuer - IFSt-Heft 071 - Bd. 2;;;;;HSB01duplicate;999399;440308;- Das Steuergesetz 1964 und die Zinsausgleichsteuer;IFSt-Heft 071 - Bd. 2;https://aleph.unisg.ch/F?func=direct&doc_number=440308;;
CCH Tax Law Editors;0;0;1996 U.S. Master Tax Guide;0;0;0;-;672;Druckerzeugnis;79. A.;KC 111 2;Chicago;CCH Incorporated;1995;notfound;;;;;;;
Bachem Wilfried;0;0;Überführung von Rücklagen der Organgesellschaft auf den Organträger;0;0;0;-;73;Druckerzeugnis;IFSt-Schrift 367;;;;;leave;999415;;;;;;
Amsler Dieter;0;0;Die zunehmende Belastung der mittelständischen Unternehmen mit Erbschaftssteuer;Vorschläge zur Änderung des Erbschaftssteuergesetzes;0;0;-;34;Druckerzeugnis;IFSt-Brief 290;;;;;replacefromSwissbib;999422;82545278;0;0;https://www.swissbib.ch/Record/082545278;;
CCH;0;0;Income Tax Regulations;0;0;0;-;;Druckerzeugnis;Including Proposed Regulations- As of January 3, 1991- Vol. 5: Proposed Regulations;KC 110 5;Chicago;Commerce Clearing House, Inc.;1991;leave;999428;;;;;;
Bramwell Richard;Hardwick Michael;;Taxation of Companies and Company Reconstructions;0;0;0;0 421 705 302;169;Druckerzeugnis;First Supplement to the Seventh Edition;KG 111 2;London;Sweet & Maxwell (W. Green);2000;leave;999436;;;;;;
Schrinner Axel;0;0;Steuerliche Probleme der Altersversorgung und der Vermögensbildung;0;0;0;-;65;Druckerzeugnis;IFSt-Schrift 377;;;;;leave;999443;;;;;;
Schlick Manfred;0;0;Zur Problematik von Steuerschätzungen bei gesetzlichen Steueränderungen;0;0;0;-;53;Druckerzeugnis;IFSt-Brief 281;;;;;replacefromSwissbib;999450;81104529;0;0;https://www.swissbib.ch/Record/081104529;;
Rieger Georg;0;0;Entwicklung der Realsteuerhebesätze der Gemeinden mit 50 000 und mehr Einwohnern in 1999 gegenüber 1998;0;0;0;-;60;Druckerzeugnis;IFSt-Schrift 376;;;;;journal;;;;;;;
Esser Clemens;0;0;Zur Einbeziehung einiger Sondervermögen in den Bundeshaushalt;0;0;0;-;51;Druckerzeugnis;IFSt-Schrift 371;;;;;leave;999466;;;;;;
Heckt Wilhelm;0;0;Zur Begrenzung des Realsteuer-Hebesatzrechts der Gemeinden;0;0;0;-;57;Druckerzeugnis;IFSt-Brief 206;;;;;leave;999473;;;;;;
Duhmer;0;0;Das öffentliche Vermögen;0;0;0;0;160;Druckerzeugnis;- Ein Problem der organischen Finanz- und Steuerreform - IFSt-Heft 35;;;;;HSB01duplicate;999481;350045;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=350045;;
IFSt;0;0;IFSt-Brief 184;0;0;0;-;31;Druckerzeugnis;0;Z 153 184;Bonn;Institut Finanzen und Steuern;1979;journal;;;;;;;
IFSt;0;0;Wirtschaft und Finanzen im Ausland;Norwegen -;0;0;-;114;Druckerzeugnis;IFSt-Heft 066 Bd. 2;;;;;journal;;;;;;;
IFSt;0;0;IFSt-Brief 141;0;0;0;-;42;Druckerzeugnis;0;Z 153 141;Bonn;Institut Finanzen und Steuern;1973;journal;;;;;;;
Eberhard;0;0;Zur grossen Steuerreform;0;0;0;-;37;Druckerzeugnis;IFSt-Brief 122;;;;;replacefromSwissbib;999506;08391790X;0;0;https://www.swissbib.ch/Record/08391790X;;
Blümich Helga;0;0;Der Haushalt der Europäischen Union;eine Bestandsaufnahme;0;0;-;118;Druckerzeugnis;IFSt-Schrift 372;;;;;replacefromSwissbib;999514;359725244;0;0;https://www.swissbib.ch/Record/359725244;;
Niemann Ursula;0;0;Bilanzierung nach IAS/IFRS und Besteuerung;0;0;0;-;81;Druckerzeugnis;IFSt-Schrift 424;;;;;leave;999522;;;;;;
IFSt;0;0;IFSt-Schrift 420;0;0;0;3-89737-115-4;81;Druckerzeugnis;von Kobelsdorff Christoph, Entwicklung der Realsteuerhebesätze der Gemeinden mit 50 000 und mehr Einwohnern in 2004 gegenüber 2003;Z 153 420;Bonn;IFSt;2004;journal;;;;;;;
Waigel Theodor;0;0;Die Finanzpolitik der 90er Jahre;0;0;0;-;21;Druckerzeugnis;IFSt-Brief 302;;;;;replacefromSwissbib;999535;82567220;0;0;https://www.swissbib.ch/Record/82567220;;
Kessler Wolfgang;0;0;Inländische Berücksichtigung ausländischer Betriebstättenverluste;0;0;0;-;48;Druckerzeugnis;IFSt-Schrift 421;;;;;leave;999543;;;;;;
IFSt;0;0;IFSt-Brief 254;0;0;0;-;22;Druckerzeugnis;0;Z 153 254;Bonn;IFSt;1986;journal;;;;;;;
Menck Wolfgang;Mutén Leif;0;Die EU-Politik bezüglich der Besteuerung privater Auslandszinsen;0;0;0;-;62;Druckerzeugnis;- Haushaltrisiken in Schwerpunktbereichen und Sparvorschläge - IFSt-Schrift 418;;;;;leave;999551;;;;;;
Steueramt des Kantons Aargau;0;0;Aargauische Gerichts- und Verwaltungsentscheide;Generalregister 1987-1996;0;0;0;257;Druckerzeugnis;0;HB 219 Reg.;Aarau;Sauerländer;1997;journal;;;;;;;
Ueberwasser B.;0;0;Steuerprobleme bei Beteiligung neuer Gesellschafter an einem Unternehmungsteil;0;0;0;-;0;Druckerzeugnis;in: St.Galler Seminar 1982 über Unternehmungsbesteuerung;;;;;leave;999564;;;;;;
Müller Peter;0;0;Deutsche Steuerhoheit über ausländische Tochtergesellschaften;0;0;0;-;221;Druckerzeugnis;Eine völkerrechtliche Untersuchung zu § 15 Abs. II StAnpG;LC 0612 2;Berlin;Neue Wirtschafts-Briefe;1970;bestcase;125716;;;;;;
David Elizabeth L.;0;0;A Comparative Study of Tax Preferences;0;0;0;0;98-101;Druckerzeugnis;in: National Tax Journal 1968, Vol. 21, No. 1, March 1968 (Einzelexemplar);;Washington;National Tax Association;;unsure;;;;;;;
Zigerlig Rainer;0;0;Abgrenzung von Geschäftsvermögen und Privatvermögen;0;0;0;-;0;Druckerzeugnis;in: St.Galler Seminar 1984 über Unternehmungsbesteuerung;;;;;leave;999588;;;;;;
Meier Bernhard;0;0;Steuerfolgen der Verpachtung von Geschäftsbetrieben (inkl. Berechnung des Liquidationsgewinns);0;0;0;0;0;Druckerzeugnis;in: St.Galler Seminar 1984 über Unternehmensbesteuerung;;;;;leave;999594;;;;;;
Kuselit-Verlag;0;0;Kuselit;;0;0;-;;Online-Publikation;Rechtsbibliographie http://www.kuselit.de/7/;JB 154;Patersbach;Kuselit-Verlag;online;iff_doc_missing;CSV line 1346;169957101;0;0;;;
0;0;0;Steuerpraxis des Kantons Schwyz (StPS) 2005;0;0;0;0;0;Druckerzeugnis;0;Z 315;Schwyz;Kantonale Steuerverwaltung;2005;journal;;;;;;;
Thöny Bernhard;0;0;Der Finanzausgleich im Wettbewerbsföderalismus;Eine Theorie des Finanzausgleichs und eine Analyse der innerkantonalen Finanzausgleichssysteme in der Schweiz;0;0;-;210;Druckerzeugnis;Dissertation Nr. 3062 der Uni St.Gallen;YL4 012;Bamberg;Difo-Druck;2005;bestcase;332534;;;;;;
Emery Yves;0;0;Leistungslohn im öffentlichen Dienst / Salaire à la performance dans le secteur public;0;0;0;3-908128-26-9;270;Druckerzeugnis;Schriftenreihe der Schweiz. Gesellschaft für Verwaltungswissenschaften (SGVW), Bd. 27- Jahrestagung vom 16. Juni 1994 in Freiburg;EH 128;Bern;SGVW;1994;bestcase;80676;;;;;;
0;0;0;Revue de droit administratif et de droit fiscal (RDAF);Aktuelle Nummer;0;0;0;0;Druckerzeugnis;Revue genevoise de droit public;Z 250;Lausanne;Presses Centrales;aktuell;journal;;;;;;;
Kanton Appenzell Innerrhoden;0;0;Landsgemeindemandat 1994;0;0;0;0;222;Druckerzeugnis;0;HA 216;Appenzell;Kanton Appenzell Innerrhoden;1994;leave;999618;;;;;;
Niemann Ursula;0;0;Kapitalerhöhung gegen Einlagen;0;0;0;-;68;Druckerzeugnis;- Keine Gewinnrealisierung beim Vorhandensein einbringungsgeborener Anteile - IFSt-Nr. 315;;;;;leave;999625;;;;;;
IFSt;0;0;IFSt-Brief 293;0;0;0;-;32;Druckerzeugnis;0;Z 153 293;Bonn;Institut Finanzen und Steuern;1990;journal;;;;;;;
Esser J.;0;0;Funktionen und Auswirkungen der verschiedenen Abschreibungsmethoden im Blickpunkt der praktischen Betriebswirtscharft;0;0;0;-;43;Druckerzeugnis;- Ergänzungsband - IFSt-Heft 47 - Bd. 2;;;;;leave;999634;;;;;;
Piltz Detlev Jürgen;0;0;Teilwertabschreibungen auf Beteiligungen an Kapitalgesellschaften;0;0;0;-;132;Druckerzeugnis;IFSt-Heft 123;;;;;HSB01duplicate;999644;204635;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=204635;;
Zwiegert Walter-Erich;0;0;Die steuerliche Zulässigkeit der Lifo- und anderer Verbrauchsunterstellungsverfahren des § 155 Abs.1 Satz 3 Aktiengesetz 1965;0;0;0;-;82;Druckerzeugnis;IFSt-Brief 218;;;;;notfound;;;;;;;
Viegener Johannes;0;0;Grundzüge der Gewinnermittlung im französischen Steuerrecht;0;0;0;-;75;Druckerzeugnis;IFSt-Heft 101;;;;;bestcase;358996;;;;;;
Esser J.;Sturm H. C. M.;0;Die heutige Steuerbelastung der gewerblichen Wirtschaft;0;0;0;-;;Druckerzeugnis;IFSt-Heft 26 Bd. 3;;;;;HSB01duplicate;999659;439944;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=439944;;
Schmitz Albert R. C.;0;0;Kommentar zum internationalen Steuerrecht der Bundesrepublik Deutschland;0;0;0;-;;Druckerzeugnis;Bd. II;LD 103 2;Düsseldorf;Verlagsbuchhandlung des Instituts der Wirtschaftsprüfer;1957;replacefromSwissbib;998279;76912086;Bd. II;;https://www.swissbib.ch/Record/76912086;;
IFSt;0;0;IFSt-Schrift 449;0;0;0;3-89737-144-8;140;Druckerzeugnis;Joachim Englisch, Aufteilung der Besteuerungsbefugnisse - Ein Rechtfertigungsgrund für die Einschränkung von EG-Grundfreiheiten?;Z 153 449;Bonn;Institut Finanzen und Steuern;2008;journal;;;;;;;
OECD;0;0;Transfer Pricing and Multinational Enterprises;0;0;0;-;100;Druckerzeugnis;Report of the OECD Committee on Fiscal Affairs 1979;LC 0648 2;Paris;OECD;1979;HSB01duplicate;999680;161082;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=161082;;
Englisch Joachim;0;0;Aufteilung der Besteuerungsbefugnisse;Ein Rechtfertigungsgrund für die Einschränkung von EG-Grundfreiheiten?;0;0;-;140;Druckerzeugnis;IFSt-Schrift 449;;;;;leave;999684;;;;;;
Pietropaolo Raffaello S.;0;0;Mehrwertsteuern bei Unternehmensumstrukturierungen und Sanierungen;0;0;0;3-905767-00-7;70;Druckerzeugnis;Steuer- & Finanznachrichten (SteFi) Nr. 2/2006- hrsg. von Marco Bernasconi und Daniel Zöbeli;QB 249;Zürich;Fernfachhochschule Schweiz (FFHS);2006;bestcase;348371;;;;;;
United Nations;0;0;Tax treaties between developed and developing countries;0;0;0;-;205;Druckerzeugnis;Fifth report;LC 0212 5;New York;United Nations;1975;iff_doc_missing;CSV line 1364;345988302;0;0;;;
OECD;0;0;Foreign Currency Translation La Conversion des Comptes;0;0;0;0;60;Druckerzeugnis;Accounting Standards Harmonization No. 1;PE 1014;Paris;OECD;1986;HSB01duplicate;999696;3601;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=3601;;
Kobs Erwin;0;0;Austritt aus Personengesellschaften in einkommensteuerlicher Sicht;0;0;0;0;131;Druckerzeugnis;6. A.;PE 0512 6;Herne;Neue Wirtschafts-Briefe;1978;leave;999700;;;;;;
Rose Gerd;0;0;Die Ertragsteuern;0;0;0;0;239;Druckerzeugnis;4.A. Betrieb und Steuer, Grundlagen zur Betriebswirtschaftlichen Steuerlehre, Erstes Buch;PE 0122 4;Wiesbaden;Gabler;1977;iff_doc_missing;CSV line 1367;309677505;0;0;;;
Jäger Hans-Joachim;0;0;Der Unternehmensstandort Schweiz aus der steuerlichen Sicht standortungebundener Unternehmen;0;0;0;3-258-05414-2;383;Druckerzeugnis;Eine Bestandesaufnahme und Vergleich zu ausgewählten europäischen Ländern Schriftenreihe Finanzwirtschaft und Finanzrecht, Bd. 84;PA 109 2;Bern;Haupt;1996;HSB01duplicate;999705;109581;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=109581;;
Smith Dan Throop;Bower Sir Frank;0;Steuergesetzgebung in Kapitalausfuhrländern zur Investitionsförderung in Entwicklungsländern / Steuerprobleme und die Entwicklung der Internationalen Wirtschaftsbeziehungen;0;0;0;-;70;Druckerzeugnis;Ein Vergleich der Arbeiten des Völkerbundes und der Organisation für wirtschaftliche Zusammenarbeit und Entwicklung (OECD) Die Entwicklung des Steuerwesens seit dem Ersten Weltkrieg- Bd. VIII bis IX;OG 101 8-9;Amsterdam;Internationales Steuerdokumentationsbüro;1966;HSB01duplicate;999709;128111;Ein Vergleich der Arbeiten des Völkerbundes und der Organisation für wirtschaftliche Zusammenarbeit und Entwicklung (OECD) Die Entwicklung des Steuerwesens seit dem Ersten Weltkrieg- Bd. VIII bis IX;;https://aleph.unisg.ch/F?func=direct&doc_number=128111;;
Littmann Eberhard;0;0;Das Einkommensteuerrecht;0;0;0;-;1616;Druckerzeugnis;Kommentar zum Einkommensteuergesetz - 8. A.;PC 103 1;Stuttgart;Schäffer;1966;iff_doc_missing;CSV line 1370;72848073;0;0;;;
Kroppen Heinz-Klaus;0;0;Handbuch Internationale Verrechnungspreise;Bd. 2;0;0;3-504-26042-4;;Loseblattwerk;Internationale Vorschriften / Stichwortverzeichnis;LC 6150 2;Köln;Otto Schmidt;2017;journal;;;;;;;
Institut für Finanzwissenschaft und Steuerrecht;0;0;Gelber Brief Nr. 199;0;0;0;-;53;Druckerzeugnis;0;Z 133 199;Wien;Institut für Finanzwissenschaft und Steuerrecht;2001;journal;;;;;;;
Netzler Harold;0;0;Der Vorbotsirrtum im Steuerstrafrecht;0;0;0;-;94;Druckerzeugnis;IFSt-Heft 63;;;;;leave;999720;;;;;;
Uecker Peter;0;0;Der Vorteils-Nachteils-Ausgleich beim Abhängigkeitsbericht;0;0;0;3 8021 0048;157;Druckerzeugnis;Kriterien der verdeckten Gewinnausschüttung als Lösungsweg;PL 309;Düsseldorf;Verlagsbuchhandlung des Instituts der Wirtschaftsprüfer;1972;bestcase;125874;;;;;;
Baumgartner Matthias;0;0;Holding-Strukturen unter steuerlichen Aspekten;0;0;0;-;;Druckerzeugnis;in: Kammertagung 1985 - Basel, S. 119-157;;Zürich;Schweizerische Treuhand- und Revisionskammer;1986;leave;999727;;;;;;
Margairaz André;Merkli Roger;0;Die Besteuerung der Aktiengesellschaften in der Schweiz;0;0;0;3-85621-054-7;160;Druckerzeugnis;Gewinn- und Kapitalsteuern von Bund, Kantonen und Gemeinden 4.A. von 1989/90;PK 156 4;Bern;Cosmos;1990;HSB01duplicate;999732;22335;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=22335;;
Wassmer Carla;0;0;Die Besteuerung der Anlagefonds und deren Anleger;0;0;0;-;241;Druckerzeugnis;Schriftenreihe Finanzwirtschaft und Finanzrecht, Bd. 33;PF 210 2;Bern;Paul Haupt;1982;bestcase;126611;;;;;;
Gygi Fritz;0;0;Die schweizerische Wirtschaftsverfassung;0;0;0;3-258-02708-0;182;Druckerzeugnis;Berner Beiträge zur Nationalökonomie, Bd. 34 - Hrsg. von H. B. Bieri, J. Niehans, H. Sieber und E. Tuchtfeldt 2. A.;WB 134;Bern;Paul Haupt;1978;bestcase;119063;;;;;;
Eidgenössisches Finanz- und Zolldepartement;0;0;Die Privatbahnfragen in der Neuordnung der Bundesfinanzen;0;0;0;-;24;Druckerzeugnis;Bericht vom 26. Juni 1956 der Studienkommission für die Prüfung der Privatbahnfragen in der Neuordnung der Bundesfinanzen an das Eidgenössische Finanz- und Zolldepartement Schriften zur Neuordnung der Bundesfinanzen, Bd. 6;TA 109 2;Basel;Verlag für Recht und Gesellschaft;1956;HSB01duplicate;999749;350417;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=350417;;
Häfelin Ulrich;Haller Walter;0;Schweizerisches Bundesstaatsrecht;ein Grundriss;0;0;0;570;Druckerzeugnis;3.A.;WB 159 3;Zürich;Schulthess;1993;iff_doc_missing;CSV line 1380;27836330X;0;0;;;
Cope J. M.;0;0;Business Taxation;0;0;0;0 17 761015 8;328;Druckerzeugnis;0;TA 143;London;The Camelot Press;1972;replacefromSwissbib;999758;22705430X;0;0;https://www.swissbib.ch/Record/22705430X;;
Jaquet Olivier;0;0;Steuerrechtliche Aspekte der Vorsorgeplanung in der beruflichen und gebundenen Vorsorge;0;0;0;3-906762-12-2;249;Druckerzeugnis;dargestellt anhand der Steuergesetze des Bundes und der Kantone Basel-Stadt und Basel-Landschaft Euopäische Hochschulschriften Reihe II, Bd. 2564;PJ 121;Bern;Peter Lang;1999;bestcase;176367;;;;;;
Pfaffenberger Wolfgang;0;0;Investitionssteuerung mit Hilfe steuerfreier Rücklagen;0;0;0;-;86;Druckerzeugnis;Neue konjunkturpolitische Instrumente in Schweden und in der Schweiz Schriften des Instituts für Theorie der Wirtschaftspolitik, Bd. 3;TA 122 2;Berlin;Duncker & Humblot;1969;bestcase;307522;;;;;;
IFF;0;0;Seminar zum neuen Mehrwertsteuergesetz;5./6.9.2000;0;0;-;;Druckerzeugnis;Kursdokumentation;QB 230 2;St. Gallen;IFF;2000;HSB01duplicate;995234;224651;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=224651;;
Institut für Finanzwissenschaft und Steuerrecht;0;0;Gelber Brief Nr. 85;0;0;0;-;22;Druckerzeugnis;0;Z 133 085;Wien;Institut für Finanzwissenschaft und Steuerrecht;1973;journal;;;;;;;
Müller Paul Richard;0;0;Das öffentliche Gemeinwesen als Subjekt des Privatrechts;0;0;0;-;479;Druckerzeugnis;Versuch eines Überblicks über Anwendungsmöglichkeiten und Theorie der privatrechtlichen Verwaltung in Gestalt privatrechtlicher Verträge des Gemeinwesens mit Privaten und der Erfüllung öffentlicher Aufgaben durch Subjekte des Privatrechts Dissertation der HSG Nr. 367;WB 217;St. Gallen;Polygraphischer Verlag;1970;HSB01duplicate;999772;96902;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=96902;;
Jorgenson Dale W.;Williams Alan;Theil H. and Mnookin Robert H.;The Journal of Political Economy;0;0;0;-;110;Druckerzeugnis;Vol. 74, Februar 1966, No. 1;TC 107;Chicago;University of Chicago;1966;journal;;;;;;;
Schuler Andrea Hans;0;0;Die Verfassungsbeschwerde in der Schweiz-der Bundesrepublik Deutschland und Österreich;0;0;0;-;254;Druckerzeugnis;Zürcher Beiträge zur Rechtswissenschaft herausgegeben von den Mitgliedern der Rechts- und staatswissenschaftlichen Fakultät der Universität Zürich, Neue Folge, Heft 306;UB 110;Zürich;Schulthess;1968;bestcase;95176;;;;;;
Wolff Hans J.;0;0;Verwaltungsrecht II;0;0;0;3-406-03412-8;535;Druckerzeugnis;Juristische Kurz-Lehrbücher, 3. Aufl.;WB 222;München;Verlag C.H.Beck;1970;replacefromSwissbib;999787;30518342;0;0;https://www.swissbib.ch/Record/30518342;;
Beeler G.;0;0;Die Wertpapiere im schweizerischen Recht;0;0;0;0;287;Druckerzeugnis;0;WC 206;Aarau;Verlag H.R. Sauerländer und Co.;1937;bestcase;117407;;;;;;
Nobel Peter;0;0;Vom Umgang mit eigenen Aktien;0;0;0;3-7255-3275-3;47;Druckerzeugnis;Schriften zum neuen Aktienrecht herausgegeben von Prof. Jean Nicolas Druey und Prof. Peter Forstmoser, Bd. 6;WC 222;Zürich;Schulthess;1994;bestcase;75122;;;;;;
Pleser Ingo;0;0;Stabilisierungs- und Wachstumsaspekte im Steuersystem der Bundesrepublik Deutschland;0;0;0;0;222;Druckerzeugnis;Dissertation Uni Freiburg Ue;TD 146 2;Reinheim;;1972;HSB01duplicate;997023;361724;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=361724;;
Giacometti Z.;0;0;Das Staatsrecht der schweizerischen Kantone;0;0;0;3 7255 1941 2;561;Druckerzeugnis;2. Auflage;WB 131;Zürich;Polygraphischer Verlag;1979;replacefromSwissbib;999796;271353724;0;0;https://www.swissbib.ch/Record/271353724;;
Wildavsky Aaron;Caiden Naomi;0;The new politics of the budgetary process;0;0;0;0-673-52462-0;367;Druckerzeugnis;3. Auflage;VB 102;United States;Addison-Wesley Educational Publishers Inc.;1997;leave;999800;;;;;;
Kanton Uri;0;0;Gesetz über die Erbschafts- und Schenkungssteuer (ESchG) vom 2. Juni 1991;0;0;0;-;13;Druckerzeugnis;Stand: 1. Januar 1992;HA 214;;;1992;leave;999806;;;;;;
Graue Wulf;0;0;Die Rechtsstellung des Finanzmaklers;0;0;0;0;138;Druckerzeugnis;Dissertation der Uni Köln;WD 159;0;0;1975;reimportFromSwissbib;999811;268697590;0;0;https://www.swissbib.ch/Record/268697590;;
Dreissig Wilhelmine;0;0;Probleme des Finanzausgleichs I;0;0;0;0;0;Druckerzeugnis;Schriften des Vereins für Socialpolitik neue Folge Band 96/I;UA 111 1.2;Berlin;Duncker & Humblot;1978;leave;998769;;;;;;
Lewis Wilfred J. R.;;0;Budget Concepts for Economic Analysis;0;0;0;0;188;Druckerzeugnis;0;VB 118 2;Washington;Brookings Institution;1968;leave;991314;;;;;;
Leutenegger Max;0;0;Der Finanzausgleich im Kanton St. Gallen;0;0;0;0;223;Druckerzeugnis;Dissertation Nr. 97 der HSG;UC 105;Winterthur;P. G. Keller;1956;bestcase;136210;;;;;;
